ID_Prov,Coord_X,Coord_Y,Coord_PortX,Coord_PortY,Land_PPort,Land_PSize,Land_PRad,Land_Soil,Land_Heat,Land_Rain,Land_Inundation,
32,3086.500,2058.500,3086.000,2056.000,2.550,390,11.154,0.835,5.173,0.500,0.422,
33,3155.000,2236.000,3153.000,2238.500,3.202,953,17.423,0.703,0.501,0.500,0.209,
34,3089.500,2034.000,3089.500,2037.500,3.500,216,8.305,0.873,5.994,0.500,0.179,
35,3177.500,2149.000,3179.000,2150.000,1.803,1968,25.033,0.659,1.706,0.500,0.375,
36,3024.000,2029.000,3023.500,2031.000,2.062,121,6.227,0.753,6.846,0.500,0.151,
37,3021.000,2007.500,3019.500,2007.000,1.581,201,8.015,0.813,6.766,0.500,0.131,
38,3015.500,1978.000,3012.500,1980.500,3.905,24,2.794,1.000,8.494,0.500,0.275,
39,2977.500,1979.500,2964.000,1970.000,16.508,225,8.466,0.943,8.267,0.500,0.197,
40,2968.000,1952.500,2967.500,1951.000,1.581,114,6.029,0.954,8.524,0.500,0.316,
41,2955.500,1932.000,2952.500,1932.000,3.000,190,7.777,0.978,9.561,0.500,0.117,
42,2944.000,1910.000,2947.000,1928.500,18.742,110,5.918,0.919,10.209,0.500,0.089,
43,2922.500,1929.500,2926.500,1930.000,4.031,126,6.354,0.759,10.162,0.500,0.153,
44,2794.500,1909.000,2792.000,1909.500,2.550,6,1.470,0.918,12.241,0.500,0.595,
45,2804.500,1916.000,2806.500,1919.000,3.606,5,1.355,0.762,12.123,0.500,0.528,
46,2815.500,1906.500,2821.000,1922.500,16.919,143,6.765,0.820,11.797,0.500,0.293,
47,2863.000,1906.500,2861.000,1914.000,7.762,97,5.575,0.809,10.147,0.500,0.386,
48,2901.000,1928.500,2898.500,1931.000,3.536,101,5.692,0.771,10.175,0.500,0.214,
49,2799.500,1882.500,2886.000,1904.000,89.132,54,4.178,0.881,11.963,0.500,0.135,
50,2849.500,1890.500,2855.000,1904.000,14.577,105,5.798,0.726,10.238,0.500,0.098,
51,2734.500,1874.500,2835.000,1904.000,104.740,38,3.519,0.872,12.664,0.500,0.774,
52,2829.500,1876.500,2822.000,1891.000,16.325,58,4.320,0.816,11.606,0.500,0.220,
53,2798.000,1903.000,2804.000,1901.000,6.325,90,5.365,0.994,12.113,0.500,0.082,
54,2772.500,1910.500,2769.000,1912.000,3.808,112,5.994,0.760,12.557,0.500,0.345,
55,2763.500,1902.000,2764.000,1908.500,6.519,53,4.122,0.754,12.547,0.500,0.513,
56,2762.500,1885.000,2761.000,1895.000,10.112,52,4.077,0.729,12.436,0.500,0.304,
57,2827.000,1914.000,2801.000,1879.000,43.600,58,4.332,0.802,10.417,0.500,0.408,
58,2780.500,1839.500,2825.000,1879.000,59.502,88,5.308,0.730,11.402,0.500,0.102,
59,2841.500,1877.500,2845.000,1875.000,4.301,82,5.112,0.829,11.511,0.500,0.212,
60,2865.000,1866.500,2878.000,1874.000,15.008,112,5.994,0.760,9.278,0.505,0.027,
61,2786.500,1885.500,2848.000,1866.000,64.517,52,4.075,0.902,12.315,0.500,0.193,
62,2835.000,1782.500,2825.000,1871.000,89.063,32,3.215,0.589,1.822,0.700,0.034,
63,2665.000,1858.500,2664.000,1859.000,1.118,5,1.353,0.922,13.518,0.500,0.725,
64,2833.000,1821.000,2838.000,1824.000,5.831,152,6.971,0.783,9.347,0.500,0.011,
65,2815.000,1804.500,2826.000,1808.000,11.543,135,6.560,0.803,8.710,0.559,0.020,
66,2820.000,1891.500,2820.000,1847.000,44.500,81,5.081,0.836,12.158,0.500,0.115,
67,2790.000,1977.500,2797.000,1976.000,7.159,154,7.013,0.778,10.834,0.500,0.301,
68,2749.000,1761.000,2803.000,1813.000,74.967,52,4.107,0.385,2.425,0.801,0.074,
69,2758.500,1804.000,2789.000,1805.000,30.516,50,4.024,0.898,11.256,0.587,0.054,
70,2817.000,1839.500,2782.000,1820.000,40.066,51,4.041,0.714,8.954,0.500,0.000,
71,2807.500,1859.000,2804.000,1832.000,27.226,43,3.740,0.721,9.615,0.500,0.012,
72,2852.500,1905.000,2768.000,1808.000,128.644,67,4.640,0.799,10.209,0.500,0.101,
73,2816.000,1787.500,2816.000,1792.000,4.500,158,7.107,0.558,2.841,0.654,0.018,
74,2763.500,1815.500,2769.000,1822.000,8.515,38,3.522,0.951,12.742,0.500,0.123,
75,2752.500,1815.500,2757.000,1820.000,6.364,84,5.184,0.839,12.142,0.500,0.026,
76,2843.000,1797.500,2843.000,1801.000,3.500,155,7.040,0.584,4.596,0.760,0.007,
77,2777.500,1815.500,2780.000,1833.000,17.678,129,6.426,0.830,10.579,0.508,0.008,
78,2764.000,1830.500,2782.000,1843.000,21.915,75,4.914,0.771,12.000,0.500,0.021,
79,2783.500,1864.500,2798.000,1849.000,21.225,89,5.345,0.760,10.362,0.500,0.028,
80,2793.500,1812.500,2748.000,1843.000,54.777,11,1.883,0.857,9.824,0.500,0.091,
81,2810.000,1829.500,2780.000,1860.000,42.781,12,1.994,0.714,10.375,0.500,0.000,
82,2805.000,1809.500,2775.000,1875.000,72.043,5,1.334,0.857,9.827,0.500,0.000,
83,2893.000,1806.500,2764.000,1857.000,138.532,194,7.860,0.815,10.363,0.513,0.101,
84,2906.000,1835.000,2751.000,1873.000,159.590,116,6.103,0.791,7.582,0.500,0.000,
85,2744.500,1858.000,2746.000,1865.000,7.159,7,1.580,0.857,13.264,0.500,0.929,
86,2751.500,1881.000,2757.000,1884.000,6.265,129,6.411,0.753,12.606,0.500,0.333,
87,2682.500,1849.000,2671.500,1861.000,16.279,53,4.129,0.881,14.241,0.500,0.845,
88,2678.500,1846.000,2682.000,1851.000,6.103,97,5.584,0.859,13.665,0.500,0.746,
89,2672.000,1838.500,2661.000,1847.000,13.901,161,7.161,0.862,13.479,0.500,0.575,
90,2683.000,1861.000,2681.500,1865.000,4.272,56,4.254,0.889,14.171,0.500,0.917,
91,2695.000,1846.000,2701.000,1852.000,8.485,98,5.601,0.832,13.271,0.510,0.632,
92,2702.000,1856.500,2711.000,1856.000,9.014,30,3.138,0.857,13.231,0.500,0.482,
93,2723.000,1850.000,2727.000,1856.000,7.211,115,6.053,0.711,11.833,0.587,0.219,
94,2733.500,1832.500,2734.000,1839.000,6.519,110,5.921,0.714,10.611,0.572,0.074,
95,2717.500,1872.000,2708.500,1873.500,9.124,84,5.177,0.779,12.958,0.500,0.628,
96,2691.500,1870.500,2690.000,1871.500,1.803,25,2.830,1.000,13.531,0.500,0.815,
97,2710.000,1887.000,2715.000,1894.500,9.014,51,4.064,0.839,13.081,0.500,0.462,
98,2717.500,1881.000,2720.000,1885.000,4.717,24,2.779,0.872,12.766,0.500,0.719,
99,2727.500,1876.500,2725.500,1888.000,11.673,101,5.691,0.876,12.660,0.500,0.618,
100,2749.000,1907.500,2749.000,1905.000,2.500,72,4.818,0.815,12.879,0.500,0.594,
101,2777.500,1740.000,2776.000,1736.500,3.808,59,4.354,0.733,14.896,0.661,0.131,
102,2751.000,1725.500,2750.500,1723.500,2.062,54,4.168,0.549,10.320,0.561,0.178,
103,2756.000,1751.500,2759.000,1759.000,8.078,173,7.437,0.622,10.742,0.551,0.073,
104,2778.500,1758.000,2777.000,1765.000,7.159,116,6.090,0.871,14.314,0.668,0.363,
105,2843.000,1720.500,2845.500,1724.000,4.301,72,4.798,0.662,15.845,0.509,0.096,
106,2804.500,1742.500,2795.000,1729.000,16.508,59,4.349,0.901,15.654,0.500,0.355,
107,2825.500,1762.000,2799.000,1771.000,27.987,58,4.328,0.825,14.473,0.619,0.111,
108,2807.000,1755.500,2816.000,1762.000,11.102,66,4.606,0.804,14.930,0.500,0.348,
109,2803.000,1751.500,2806.000,1756.000,5.408,41,3.616,0.901,17.767,0.500,0.422,
110,2812.000,1769.000,2816.000,1778.000,9.849,86,5.251,0.399,6.139,0.512,0.074,
111,2841.000,1769.500,2842.000,1762.500,7.071,130,6.452,0.569,10.663,0.735,0.085,
112,2830.500,1755.000,2831.500,1754.000,1.414,32,3.238,0.943,15.603,0.619,0.737,
113,2811.500,1740.500,2814.000,1742.000,2.915,65,4.553,0.934,16.295,0.500,0.028,
114,2821.000,1737.500,2823.000,1733.000,4.924,21,2.621,0.873,16.571,0.500,0.054,
115,2797.500,1729.000,2796.000,1728.000,1.803,22,2.669,0.821,16.880,0.500,0.244,
116,2813.000,1726.000,2820.000,1729.000,7.616,124,6.283,0.785,15.511,0.500,0.100,
117,2814.000,1714.500,2810.000,1702.500,12.649,103,5.733,0.857,15.760,0.500,0.093,
118,2823.500,1699.000,2819.000,1697.500,4.743,129,6.414,0.760,16.780,0.500,0.237,
119,2843.000,1702.000,2850.000,1696.000,9.220,92,5.438,0.682,11.571,0.500,0.175,
120,2886.000,1669.500,2881.500,1658.000,12.349,199,7.976,0.778,16.427,0.500,0.262,
121,2869.000,1679.500,2871.000,1676.000,4.031,63,4.490,0.725,16.582,0.500,0.333,
122,2863.000,1689.500,2868.000,1695.000,7.433,81,5.092,0.735,15.295,0.500,0.118,
123,2883.500,1625.000,2885.000,1630.500,5.701,179,7.557,0.847,17.540,0.500,0.333,
124,2877.000,1625.500,2877.500,1621.500,4.031,79,5.044,0.739,17.466,0.500,0.265,
125,2844.500,1623.500,2846.500,1624.500,2.236,82,5.118,0.800,17.763,0.500,0.428,
126,2862.500,1585.500,2864.000,1587.500,2.500,16,2.259,0.857,18.291,0.500,0.000,
127,2769.500,1671.000,2767.500,1673.500,3.202,150,6.916,0.789,17.315,0.502,0.206,
128,2860.000,1780.000,2859.000,1787.000,7.071,159,7.120,0.547,6.797,0.826,0.007,
129,2862.500,1766.500,2860.000,1754.000,12.748,168,7.321,0.816,11.423,0.838,0.079,
130,2852.500,1747.500,2851.000,1746.500,1.803,65,4.553,0.922,14.624,0.642,0.226,
131,2885.000,1763.000,2893.000,1763.000,8.000,201,8.010,0.613,13.051,0.712,0.035,
132,2878.500,1790.500,2867.000,1801.000,15.572,163,7.213,0.736,8.882,0.613,0.004,
133,2912.000,1778.000,2862.000,1815.000,62.201,120,6.204,0.816,12.763,0.500,0.053,
134,2860.000,1807.000,2889.000,1812.000,29.428,189,7.773,0.698,8.765,0.636,0.020,
135,2897.500,1787.500,2904.000,1797.000,11.511,222,8.414,0.891,12.544,0.500,0.084,
136,2894.000,1722.000,2892.500,1721.000,1.803,41,3.640,0.857,14.037,0.545,0.289,
137,2917.000,1706.500,2918.000,1705.500,1.414,45,3.796,0.857,14.915,0.683,0.273,
138,2930.500,1701.000,2928.500,1701.000,2.000,8,1.631,0.857,13.611,0.700,0.312,
139,2927.000,1729.000,2927.000,1726.000,3.000,190,7.793,0.721,8.838,0.649,0.010,
140,2964.500,1706.000,2931.000,1744.000,50.658,104,5.777,0.559,10.556,0.502,0.000,
141,2964.000,1739.500,2973.000,1739.000,9.014,177,7.519,0.701,12.519,0.500,0.012,
142,2948.000,1650.000,2948.500,1649.500,0.707,21,2.632,0.714,15.473,0.700,0.478,
143,2505.000,1718.000,2503.000,1719.000,2.236,57,4.267,0.352,15.091,0.738,0.127,
144,2953.500,1659.000,2947.500,1657.000,6.325,110,5.931,0.737,13.404,0.675,0.203,
145,2987.000,1607.000,2990.500,1602.500,5.701,160,7.140,0.734,15.266,0.500,0.200,
146,3008.000,1623.000,3007.000,1620.500,2.693,160,7.151,0.739,16.778,0.500,0.292,
147,2998.000,1667.000,2994.000,1668.500,4.272,85,5.215,0.783,16.016,0.500,0.253,
148,2968.000,1692.000,2995.500,1669.500,35.532,108,5.882,0.382,9.599,0.543,0.040,
149,2985.500,1650.000,2996.000,1644.000,12.093,237,8.699,0.754,15.588,0.500,0.156,
150,3065.000,1730.000,3033.000,1718.000,34.176,218,8.338,0.927,13.010,0.500,0.085,
151,3071.500,1683.000,3077.500,1687.000,7.211,141,6.710,0.759,15.469,0.500,0.378,
152,2886.000,1772.000,2899.000,1777.000,13.928,181,7.595,0.712,12.984,0.546,0.063,
153,2922.500,1767.500,2939.000,1805.000,40.970,183,7.651,0.953,12.587,0.500,0.137,
154,2962.500,1652.000,2956.000,1644.500,9.925,99,5.625,0.732,14.935,0.663,0.092,
155,3005.000,1678.000,3016.000,1671.000,13.038,131,6.480,0.716,14.311,0.500,0.158,
156,2981.500,1713.500,2983.000,1767.000,53.521,136,6.596,0.584,10.709,0.500,0.000,
157,3037.500,1716.000,2996.000,1800.000,93.692,411,11.447,0.892,13.012,0.500,0.038,
158,3014.000,1764.000,3040.000,1778.000,29.530,272,9.309,0.725,8.628,0.500,0.000,
159,3074.000,1723.000,3080.000,1719.500,6.946,98,5.586,0.864,13.801,0.500,0.061,
160,3096.000,1759.000,3101.000,1759.000,5.000,189,7.758,0.814,13.076,0.483,0.198,
161,3040.000,1729.500,3050.000,1750.000,22.809,173,7.435,0.924,13.347,0.500,0.021,
162,3009.000,1805.000,2984.000,1826.000,32.650,186,7.704,0.574,6.579,0.500,0.003,
163,3020.500,1576.000,3021.000,1578.000,2.062,177,7.507,0.722,16.921,0.513,0.242,
164,3034.500,1605.500,3034.000,1608.500,3.041,77,4.975,0.714,17.469,0.500,0.000,
165,2771.000,1791.000,2759.000,1789.000,12.166,107,5.843,0.756,10.725,0.709,0.114,
166,2786.500,1780.000,2775.000,1786.000,12.971,113,6.013,0.366,2.029,0.750,0.025,
167,2650.000,1834.500,2638.000,1833.000,12.093,66,4.594,0.861,13.660,0.500,0.366,
168,2628.000,1825.000,2625.000,1829.500,5.408,136,6.583,0.916,13.603,0.500,0.310,
169,2612.000,1806.500,2610.000,1816.000,9.708,92,5.430,0.953,14.144,0.500,0.302,
170,2568.500,1811.500,2564.500,1811.000,4.031,159,7.118,0.757,14.414,0.684,0.453,
171,2596.500,1797.500,2585.000,1797.500,11.500,115,6.068,0.775,14.456,0.508,0.392,
172,2620.000,1769.000,2618.000,1768.500,2.062,37,3.444,0.968,14.932,0.500,0.660,
173,2637.000,1757.500,2611.000,1720.500,45.222,101,5.680,0.908,14.649,0.504,0.251,
174,2634.000,1746.500,2628.000,1747.000,6.021,69,4.697,0.980,14.737,0.500,0.320,
175,2644.000,1724.000,2645.000,1729.000,5.099,112,5.992,0.863,14.724,0.500,0.022,
176,2625.500,1742.500,2625.000,1749.000,6.519,178,7.528,0.853,15.698,0.584,0.184,
177,2635.500,1801.000,2640.000,1804.000,5.408,169,7.353,0.903,13.794,0.500,0.067,
178,2626.500,1793.500,2636.000,1791.000,9.823,207,8.133,0.888,14.224,0.500,0.191,
179,2632.000,1716.500,2672.000,1787.000,81.057,133,6.514,0.785,11.707,0.636,0.005,
180,2640.500,1772.500,2641.000,1768.000,4.528,262,9.146,0.875,14.400,0.500,0.055,
181,2651.500,1678.000,2652.500,1676.500,1.803,132,6.482,0.789,16.891,0.500,0.200,
182,2534.000,1650.000,2685.000,1837.000,240.354,164,7.227,0.662,18.018,0.500,0.024,
183,2674.000,1820.000,2673.000,1823.000,3.162,47,3.907,0.857,14.054,0.500,0.754,
184,2668.500,1802.000,2664.000,1799.000,5.408,132,6.487,0.849,13.521,0.500,0.407,
185,2755.000,1770.500,2690.000,1808.000,75.042,80,5.068,0.282,2.306,0.856,0.180,
186,2695.000,1826.000,2705.000,1823.000,10.440,173,7.432,0.805,13.001,0.500,0.310,
187,2720.000,1815.000,2726.000,1823.000,10.000,126,6.354,0.964,11.367,0.517,0.009,
188,2731.500,1822.500,2746.000,1827.000,15.182,75,4.901,0.964,12.056,0.529,0.028,
189,2734.000,1815.500,2740.000,1815.000,6.021,144,6.779,0.943,12.208,0.500,0.004,
190,2689.500,1772.000,2687.000,1778.000,6.500,179,7.557,0.773,12.258,0.501,0.010,
191,2687.500,1785.500,2693.000,1792.000,8.515,133,6.527,0.846,12.682,0.500,0.013,
192,2713.000,1790.000,2712.000,1800.000,10.050,191,7.812,0.945,11.847,0.500,0.036,
193,2728.000,1790.500,2734.000,1793.000,6.500,160,7.149,0.968,11.908,0.540,0.007,
194,2648.500,1749.000,2652.000,1748.000,3.640,86,5.234,0.809,14.567,0.507,0.007,
195,2648.500,1791.000,2663.000,1762.000,32.423,129,6.428,0.877,14.134,0.500,0.157,
196,2660.500,1720.000,2665.000,1723.000,5.408,147,6.853,0.901,14.462,0.500,0.025,
197,2681.500,1706.000,2684.000,1707.000,2.693,57,4.280,0.565,13.479,0.554,0.107,
198,2577.000,1701.000,2682.000,1738.000,111.328,266,9.209,0.746,11.205,0.503,0.070,
199,2687.000,1763.000,2694.000,1759.000,8.062,170,7.378,0.630,9.939,0.505,0.003,
200,2705.000,1727.500,2703.000,1722.000,5.852,132,6.501,0.724,15.247,0.500,0.164,
201,2721.500,1719.000,2718.500,1717.500,3.354,103,5.736,0.657,17.310,0.500,0.471,
202,2713.000,1729.500,2721.000,1736.000,10.308,34,3.322,0.893,15.869,0.500,0.309,
203,2703.000,1759.500,2718.000,1771.000,18.901,142,6.744,0.561,10.699,0.500,0.020,
204,2725.500,1749.000,2730.000,1751.000,4.924,186,7.698,0.798,10.750,0.601,0.053,
205,2734.500,1761.500,2740.000,1766.000,7.106,183,7.632,0.558,6.912,0.696,0.033,
206,2502.000,1710.000,2498.500,1699.500,11.068,142,6.734,0.390,15.717,0.978,0.243,
207,2545.500,1719.000,2545.500,1723.500,4.500,77,4.965,0.560,14.029,0.550,0.130,
208,2547.000,1704.500,2551.000,1703.000,4.272,294,9.681,0.555,10.811,0.550,0.105,
209,2598.000,1700.000,2589.500,1719.000,20.815,98,5.600,0.686,11.553,0.500,0.076,
210,2611.000,1709.000,2605.500,1719.000,11.413,168,7.331,0.709,13.322,0.553,0.051,
211,2632.500,1697.500,2638.000,1703.000,7.778,176,7.494,0.693,12.602,0.529,0.014,
212,2682.000,1693.000,2686.000,1691.500,4.272,106,5.811,0.647,16.786,0.500,0.110,
213,2670.500,1684.500,2671.000,1683.000,1.581,93,5.461,0.750,16.889,0.500,0.228,
214,2620.000,1685.000,2625.000,1682.000,5.831,136,6.589,0.731,15.919,0.436,0.170,
215,2566.000,1688.500,2579.000,1685.000,13.463,141,6.714,0.845,12.826,0.451,0.163,
216,2547.500,1677.000,2545.000,1677.000,2.500,259,9.093,0.531,13.580,0.498,0.030,
217,2577.000,1666.500,2591.000,1670.000,14.431,215,8.280,0.710,13.115,0.483,0.082,
218,2546.500,1649.500,2545.000,1638.000,11.597,105,5.801,0.733,17.623,0.491,0.043,
219,2575.000,1643.000,2589.000,1649.000,15.232,243,8.807,0.764,17.053,0.500,0.093,
220,2629.000,1649.500,2630.500,1647.000,2.915,110,5.919,0.765,15.541,0.500,0.118,
221,2618.000,1618.000,2623.500,1618.500,5.523,122,6.246,0.846,17.660,0.372,0.180,
222,2599.000,1605.000,2598.500,1603.000,2.062,169,7.349,0.733,16.659,0.408,0.186,
223,2579.000,1611.000,2582.500,1600.500,11.068,112,5.992,0.814,16.765,0.480,0.460,
224,2526.000,1612.000,2526.000,1609.500,2.500,182,7.621,0.624,17.839,0.500,0.167,
225,2562.500,1623.000,2565.000,1627.000,4.717,188,7.745,0.663,17.594,0.500,0.205,
226,2565.500,1601.500,2566.500,1600.000,1.803,50,4.000,0.784,18.039,0.500,0.211,
227,2577.500,1617.000,2492.000,1635.500,87.479,102,5.700,0.728,17.503,0.500,0.113,
228,2510.500,1608.000,2513.500,1605.000,4.243,59,4.362,0.340,17.855,0.500,0.270,
229,2500.000,1646.500,2496.500,1637.500,9.657,143,6.750,0.788,18.024,0.500,0.265,
230,2491.500,1637.000,2490.000,1634.500,2.915,88,5.304,0.846,18.021,0.514,0.212,
231,2505.000,1663.000,2499.000,1672.500,11.236,155,7.039,0.661,17.453,0.654,0.215,
232,2501.000,1690.500,2497.500,1688.000,4.301,94,5.484,0.424,15.833,0.859,0.188,
233,2558.000,1847.000,2557.000,1845.000,2.236,78,5.014,0.857,13.899,0.724,0.380,
234,2616.000,1860.000,2618.000,1857.500,3.202,123,6.261,0.801,13.550,0.500,0.195,
235,2648.000,1867.000,2646.000,1868.000,2.236,79,5.040,0.932,13.613,0.500,0.459,
236,2633.000,1873.000,2638.500,1871.500,5.701,20,2.525,0.919,13.362,0.500,0.586,
237,2619.000,1876.000,2626.000,1883.000,9.899,139,6.670,0.978,12.935,0.500,0.323,
238,2610.000,1935.000,2616.000,1935.000,6.000,51,4.067,0.833,11.547,0.527,0.143,
239,2599.000,1877.000,2596.000,1875.000,3.606,70,4.750,0.945,12.936,0.500,0.203,
240,2606.500,1885.000,2604.000,1893.000,8.382,107,5.850,0.819,12.541,0.510,0.161,
241,2586.000,1871.000,2587.500,1870.000,1.803,73,4.828,0.655,13.111,0.703,0.218,
242,2572.000,1900.000,2575.500,1906.000,6.946,98,5.612,0.797,11.903,0.786,0.193,
243,2632.000,1904.000,2640.000,1907.000,8.544,134,6.540,0.957,13.087,0.500,0.518,
244,2594.000,1924.000,2589.000,1923.000,5.099,98,5.591,0.742,12.211,0.687,0.392,
245,2621.500,1922.500,2633.000,1919.500,11.885,173,7.436,0.866,12.173,0.529,0.344,
246,2608.500,1944.000,2612.000,1943.500,3.536,104,5.773,0.658,10.918,0.559,0.047,
247,2592.000,1883.000,2579.500,1930.500,49.117,152,6.966,0.851,12.709,0.504,0.224,
248,2586.000,1957.500,2586.500,1958.500,1.118,38,3.515,0.988,10.484,0.521,0.067,
249,2564.500,1949.000,2563.000,1949.000,1.500,58,4.322,0.828,11.360,0.862,0.095,
250,2603.000,1987.000,2605.000,1985.000,2.828,149,6.896,0.739,10.518,0.560,0.063,
251,2586.000,1970.000,2588.500,1969.000,2.693,55,4.213,0.648,10.855,0.568,0.129,
252,2554.500,1968.000,2550.500,1968.500,4.031,152,6.973,0.376,11.593,0.949,0.216,
253,2556.500,1990.500,2551.000,1997.500,8.902,126,6.335,0.324,8.891,0.900,0.204,
254,2907.500,1903.000,2907.000,1899.000,4.031,63,4.504,0.753,10.168,0.500,0.102,
255,2930.000,1894.000,2924.000,1892.000,6.325,86,5.255,0.845,10.209,0.500,0.081,
256,2968.000,1876.000,2954.000,1899.000,26.926,71,4.767,0.821,10.209,0.500,0.054,
257,2948.000,1889.000,2974.000,1889.000,26.000,84,5.186,0.832,10.209,0.500,0.120,
258,2992.500,1836.000,2937.000,1869.000,64.570,280,9.444,0.762,8.330,0.500,0.002,
259,2989.000,1861.000,2972.000,1861.000,17.000,250,8.921,0.784,10.209,0.500,0.072,
260,3014.000,1835.000,2993.000,1867.000,38.275,379,10.991,0.939,10.198,0.500,0.040,
261,3079.000,1843.000,3027.000,1832.000,53.151,942,17.319,0.808,9.850,0.500,0.083,
262,2939.500,1841.000,2958.000,1846.000,19.164,35,3.381,0.748,6.997,0.503,0.056,
263,2932.000,1870.000,2925.000,1852.000,19.313,140,6.681,0.774,10.209,0.500,0.007,
264,2884.000,1906.000,2904.000,1872.000,39.446,167,7.305,0.810,10.209,0.500,0.089,
265,2898.000,1826.500,2905.000,1840.000,15.207,109,5.914,0.829,9.271,0.500,0.015,
266,2859.000,1853.500,2882.000,1852.000,23.049,49,3.983,0.561,9.796,0.500,0.021,
267,2867.000,1823.500,2857.000,1840.000,19.294,215,8.278,0.671,8.474,0.503,0.025,
268,2859.000,1843.000,3069.000,1792.000,216.104,171,7.399,0.801,9.852,0.500,0.000,
269,2926.000,1835.000,2997.000,1901.000,96.938,31,3.183,0.649,7.061,0.598,0.017,
270,2887.500,1845.000,3026.000,1931.000,163.028,179,7.567,0.788,7.921,0.505,0.003,
271,2997.000,1899.000,2965.000,1959.500,68.442,62,4.450,0.714,10.209,0.500,0.100,
272,3035.000,1932.000,3053.000,1944.000,21.633,384,11.058,0.865,7.517,0.500,0.029,
273,3054.000,1959.000,3062.000,1976.000,18.788,144,6.775,0.941,6.720,0.500,0.039,
274,3079.000,1996.000,3074.500,2024.000,28.359,155,7.025,0.899,6.388,0.500,0.280,
275,3085.000,1945.500,3108.000,1951.000,23.648,281,9.460,0.838,6.879,0.500,0.034,
276,3083.000,1817.000,3085.000,1917.000,100.020,344,10.471,1.000,10.211,0.500,0.050,
277,3007.500,1881.000,3339.500,2201.500,461.459,3990,35.639,0.442,0.444,0.500,0.123,
278,3451.500,2192.000,3481.000,2220.000,40.672,1612,22.656,0.501,0.500,0.176,279,
3327.000,2130.000,3324.500,2173.000,43.073,1583,22.454,0.461,0.286,0.500,0.092,280,
3112.000,1850.000,3114.000,1850.000,2.000,82,5.138,0.978,9.673,0.500,0.324,281,
3585.500,1995.500,3074.000,1823.000,539.804,1540,22.148,0.817,1.305,0.500,0.051,282,
3168.000,1747.000,3161.500,1748.000,6.576,438,11.819,0.849,13.434,0.498,0.209,283,
