province;red;green;blue;x;x
166;23;108;64;Grischun;x
167;151;110;128;Caux;x
168;24;112;192;Normendie;x
169;152;114;255;Bro Roazhon;x
170;24;116;0;Bro Gernev;x
171;152;118;64;Bro Wened;x
172;24;120;128;Aunis;x
173;152;122;192;Engolesmois;x
174;24;124;255;Gasconha;x
175;153;126;0;Armanhac;x
176;25;128;64;Guiana;x
177;153;130;128;Maine;x
178;25;132;192;Anjou;x
179;153;134;255;Bearn;x
180;25;136;0;Poetou;x
181;153;138;64;Tarragona;x
182;26;140;128;Cáceres;x
183;154;142;192;Paris;x
184;26;144;255;Orliens;x
185;154;146;0;Valês;x
186;26;148;64;Argonne;x
187;154;150;128;Barrois;x
188;26;152;192;Trois-Évêchés;x
189;155;154;255;Loherainne;x
190;27;156;0;Borbonés;x
191;155;158;64;Nivernés;x
192;27;32;128;Digenois;x
193;155;34;192;Besançon;x
194;27;36;255;Peirigorc;x
195;155;38;0;Tourraine;x
196;28;40;64;Tolzan;x
197;156;42;128;Rossellò;x
198;28;44;192;Burgos;x
199;156;46;255;Nauta Alvernhe;x
200;28;48;0;Lengadoc;x
201;156;50;64;Proensa;x
202;28;52;128;Veneisi;x
203;157;54;192;Forez;x
204;29;56;255;Vianneys;x
205;157;58;0;Savoia;x
206;29;60;64;Santiago;x
207;157;62;128;Asturies;x
208;29;64;192;Llión;x
209;157;66;255;Rioja;x
210;30;68;0;Nafarroa;x
211;158;70;64;Alto Aragó;x
212;30;72;128;Girona;x
213;158;74;192;Barcelona;x
214;30;76;255;Zaragoza;x
215;158;78;0;Castilla la Vieja;x
216;30;80;64;Salamanca;x
217;159;82;128;Castilla la Nueva;x
218;31;84;192;Trujillu;x
219;159;86;255;La Mancha;x
220;31;88;0;València;x
221;159;90;64;Murcía;x
222;31;92;128;Al Mariyya;x
223;159;94;192;Gharnata;x
224;32;96;255;Huelva;x
225;160;98;0;Córdoba;x
226;32;100;64;Malaqa;x
227;160;102;128;Jaén;x
228;32;104;192;Barlavento;x
229;160;106;255;Ribatejo;x
230;32;108;0;Estremadura;x
231;161;110;64;Beira Litoral;x
232;33;112;128;Minho;x
233;161;114;192;Kernow;x
234;33;116;255;Wessex;x
235;161;118;0;Kent;x
236;33;120;64;London;x
237;161;122;128;Oxford;x
238;34;124;192;Durham;x
239;162;126;255;Gloucester;x
240;34;128;0;Warwick;x
241;162;130;64;Forgannwg;x
242;34;132;128;Gaernarfon;x
243;162;134;192;Lincoln;x
244;34;136;255;Lancaster;x
245;163;138;0;York;x
246;35;140;64;Northumberland;x
247;163;142;128;Hereford;x
248;35;144;192;Midlowden;x
249;163;146;255;Ayr;x
250;35;148;0;Aiberdeen;x
251;163;150;64;Athall;x
252;36;152;128;Earra Ghaidheal;x
253;164;154;192;Ross;x
254;36;156;255;Nakelskie;x
255;164;158;0;Kujawy;x
256;36;32;64;Mazowieckie;x
257;164;34;128;Plockie;x
258;36;36;192;Peremyshl;x
259;165;38;255;Lubelskie;x
260;37;40;0;Galicina;x
261;165;42;64;Zhitomir;x
262;37;44;128;Krakowskie;x
263;165;46;192;Sieradzkie;x
264;37;48;255;Neumark;x
265;165;50;0;Brnensko;x
266;38;52;64;Litomericko;x
267;166;54;128;Budejovicko;x
268;38;56;192;Praha;x
269;166;58;255;Teschen;x
270;38;60;0;Hradecko;x
271;168;86;192;Podlachia;x
272;38;64;128;Dzukija;x
273;167;66;192;Latgola;x
274;39;68;255;Pskov;x
275;167;70;0;Polatsk;x
276;39;72;64;Braclav;x
277;167;74;128;Samoyeds;x
278;39;76;192;Komi;x
279;167;78;255;Zyrian;x
280;40;80;0;Kyiv;x
281;168;82;64;Severniy Ural;x
282;40;84;128;Crimea;x
283;166;62;64;Brestie;x
284;40;88;255;Dykra;x
285;168;90;0;Pryazovia;x
286;40;92;64;Copa;x
287;169;94;128;Kuban;x
288;41;96;192;Zaozerye;x
289;169;98;255;Chernigov;x
290;41;100;0;Kostroma;x
291;169;102;64;Beloozero;x
292;41;104;128;Starya Rusa;x
293;169;106;192;Smolenskaya ziemlya;x
294;42;108;255;Tver;x
295;170;110;0;Moskva;x
296;42;112;64;Grodno;x
297;170;114;128;Vicebsk;x
298;42;116;192;Briansk;x
299;170;118;255;Pereyaslavl;x
300;42;120;0;Zaporizhzhia;x
301;171;122;64;Ryazan;x
302;43;124;128;Donbas;x
303;171;126;192;Desht-i-Kipchak;x
304;43;128;255;Yeletsky;x
305;171;130;0;Kursk;x
306;43;132;64;Murom;x
307;171;134;128;Vladimir;x
308;44;136;192;Yaroslavl;x
309;172;138;255;Severnaya Rus;x
310;44;140;0;Velikiye Luki;x
311;172;142;64;Starodub;x
312;44;144;128;Vologda;x
313;172;146;192;Vorotynsk;x
314;44;148;255;Bjarmia;x
315;173;150;0;Olonets;x
316;45;152;64;Bolu;x
317;173;154;128;Bergama;x
318;45;156;192;Manisa;x
319;173;158;255;Sivrihisar;x
320;45;32;0;Rodos;x
321;173;34;64;Lefkosia;x
322;46;36;128;Demirci;x
323;174;38;192;Engürü;x
324;46;40;255;Kütahya;x
325;174;42;0;Antalya;x
326;46;44;64;Gönen;x
327;174;46;128;Toroslar;x
328;46;48;192;Sinop;x
329;175;50;255;Karaman;x
330;47;52;0;Trapezounta;x
331;175;54;64;Konya;x
332;47;56;128;Antakya;x
333;175;58;192;Mallorcha;x
334;47;60;255;Tanja;x
335;175;62;0;Riyafa;x
336;48;64;64;Taourirt;x
337;176;66;128;Wahran;x
338;48;68;192;Arzew;x
339;176;70;255;Jabal Jurjura;x
340;48;72;0;Annaba;x
341;176;74;64;Tunis;x
342;48;76;128;Ouadanne;x
343;177;78;192;Fes;x
344;49;80;255;Meknès;x
345;177;82;0;Arguin;x
346;49;84;64;Warzazat;x
347;177;86;128;Tadla;x
348;49;88;192;Tilchitt;x
349;177;90;255;Sijilmassa;x
350;50;92;0;Al-Jaza'er;x
351;178;94;64;Biserta;x
352;50;96;128;Toongau;x
353;178;98;192;Medhia;x
354;50;100;255;Tarabulus;x
355;178;102;0;Sirt;x
356;50;104;64;Barqa;x
357;179;106;128;Lemosi;x
358;51;108;192;Al Iskandariyya;x
359;179;110;255;Al Suways;x
360;51;112;0;Qus;x
361;179;114;64;Al Qahira;x
362;51;116;128;Rasheed;x
363;179;118;192;Dumyat;x
364;52;120;255;Nabulus;x
365;180;122;0;Carpathians;x
366;52;124;64;Achinet;x
367;180;126;128;Os Açores;x
368;52;128;192;Madeira;x
369;180;130;255;Orkney;x
370;52;132;0;Skálholt;x
371;181;134;64;Hólar;x
372;53;136;128;Tír Chonaill;x
373;181;138;192;An Pháil;x
374;53;140;255;Loch Garman;x
375;181;142;0;Deas-Mhumhain;x
376;53;144;64;Gaillimhe;x
377;181;146;128;Halab;x
378;54;148;192;Tarabulus Al Sham;x
379;182;150;255;Al Quds;x
380;54;152;0;Yanbu';x
381;182;154;64;Mstsislaw;x
382;54;156;128;Dimashq;x
383;182;158;192;Karnah;x
384;54;32;255;Al Madína;x
385;183;34;0;Makka;x
386;55;36;64;Dihistan;x
387;183;38;128;Sarakhs;x
388;55;40;192;'Aden;x
389;183;42;255;Hadramut;x
390;55;44;0;Yazd;x
391;183;46;64;Berry;x
392;56;48;128;Ahvaz;x
393;184;50;192;Kazima;x
394;56;52;255;Hafuf;x
395;184;54;0;Qatr;x
396;56;56;64;Al Bahrayn;x
397;184;58;128;Qatif;x
398;56;60;192;Basrah;x
399;185;62;255;East Anglia;x
400;57;64;0;Musqat;x
401;185;66;64;Wusta;x
402;57;68;128;Dhufar;x
403;185;70;192;Ramlat al Wahiba';x
404;57;72;255;Shabwah;x
405;185;74;0;Golestan;x
406;58;76;64;Sahra' al Nefud;x
407;186;78;128;Temassek;x
408;58;80;192;Champassak;x
409;186;82;255;Cumberland;x
410;58;84;0;Baghdad;x
411;186;86;64;Sharizhor;x
412;58;88;128;Kermanshah;x
413;187;90;192;Khorramabad;x
414;59;92;255;Isfahan;x
415;187;94;0;Samawah;x
416;59;96;64;Tabriz;x
417;187;98;128;Gilan;x
418;59;100;192;Van;x
419;187;102;255;Hayastan;x
420;60;104;0;Nicobar;x
421;188;106;64;Lakshadweep;x
422;60;108;128;Kakheti;x
423;188;110;192;Kartli;x
424;60;112;255;Shirvan;x
425;188;114;0;Derbent;x
426;60;116;64;Mazandaran;x
427;189;118;128;Chester;x
428;61;120;192;San'a;x
429;189;124;0;Fars;x
430;61;124;0;Bastaki;x
431;189;126;64;Qishm;x
432;61;128;128;Kúh-i-Rud;x
433;189;130;192;Sabzevar;x
434;62;132;255;Makran;x
435;190;134;0;Kerman;x
436;62;136;64;Bukhara;x
437;190;138;128;Nik Shahr;x
438;62;140;192;Kara-Kum;x
439;190;142;255;Mangyshlak;x
440;62;144;0;Karakalpak;x
441;191;146;64;Karakiya;x
442;63;148;128;Khiva;x
443;191;150;192;Ust-Yurt;x
444;63;152;255;Kish;x
445;191;154;0;Merv;x
446;63;156;64;Biarjmand;x
447;191;158;128;Herat;x
448;64;32;192;Qalat;x
449;192;34;255;Ghor;x
450;64;36;0;Qonduz;x
451;192;38;64;Kabulistan;x
452;64;40;128;Bamiyan;x
453;192;42;192;Badakhshan;x
454;64;44;255;Tashkent;x
455;193;46;0;Lebap;x
456;65;48;64;Hazarasp;x
457;193;50;128;Samarqand;x
458;65;52;192;Ferghana;x
459;193;54;255;Kurkala-usu;x
460;65;56;0;Kulja;x
461;193;58;64;Almatu;x
462;66;60;128;Mangystau;x
463;194;62;192;Zanjan;x
464;66;64;255;Sirjan;x
465;194;66;0;Al Mahra;x
466;66;68;64;Al Batinah;x
467;194;70;128;Abu Dabi;x
468;66;72;192;Bampur;x
469;195;74;255;Buraydah;x
470;67;76;0;Al'Ula;x
471;195;78;64;Tyuratam;x
472;67;80;128;Khazakh;x
473;195;82;192;Asir;x
474;67;84;255;Tihamat Al Yanan;x
475;195;86;0;Qostanai;x
476;68;88;64;Akhsikath;x
477;196;90;128;He'ergun;x
478;68;92;192;Chuguchak;x
479;196;94;255;Qaragandha;x
480;68;96;0;Kish;x
481;196;98;64;Bermuda;x
482;68;100;128;Lucayas;x
483;197;102;192;Caicos;x
484;69;104;255;Guanahatabey;x
485;197;106;0;Cubanacan;x
486;69;108;64;Bayaquitiri;x
487;197;110;128;Xamaica;x
488;69;112;192;Guanabo;x
489;197;114;255;Magua;x
490;70;116;0;Maguana;x
491;198;118;64;Kòrsou;x
492;70;120;128;Igneri;x
493;198;122;192;Caribs;x
494;70;124;255;Caniba;x
495;198;126;0;Kalinago;x
496;70;128;64;Wadadli;x
497;199;130;128;Karukéra;x
498;71;132;192;Wai'tu Kubuli;x
499;199;134;255;Galibi;x
500;71;136;0;Garifuna;x
501;199;138;64;Ichirouganaim;x
502;71;140;128;Suppoya;x
503;199;142;192;Kachchh;x
504;72;144;255;Thurr;x
505;200;146;0;Sehwan;x
506;72;148;64;Aopuni;x
507;200;150;128;Nizampatnam;x
508;72;152;192;Adinapur;x
509;200;154;255;Ladakh;x
510;72;156;0;Sirhind;x
511;201;158;64;Bhattiana;x
512;73;32;128;Marwar;x
513;201;34;192;Tonga;x
514;73;36;255;Gorwar;x
515;201;38;0;Gujaràtta;x
516;73;40;64;Ahmadabad;x
517;201;42;128;Banglana;x
518;74;44;192;Udaipur;x
519;202;46;255;Nagaur;x
520;74;48;0;Hadoti;x
521;202;50;64;Panipat;x
522;74;52;128;Jindh;x
523;202;54;192;Kumaon;x
524;74;56;255;Braj;x
525;203;58;0;Ajmer;x
526;75;60;64;Malwa;x
527;203;62;128;Mandla;x
528;75;64;192;Mandsaur;x
529;203;66;255;Konkan;x
530;75;68;0;Maharashtra;x
531;203;70;64;Govà;x
532;76;72;128;Mangaluru;x
533;204;74;192;Kannur;x
534;76;76;255;Kozhikode;x
535;204;78;0;Thiruvithaamkoor;x
536;76;80;64;Tirunelveli;x
537;204;82;128;Karaikal;x
538;76;84;192;Madurai;x
539;205;86;255;Tiruchchirapalli;x
540;77;88;0;Mysuru;x
541;205;90;64;Arcot;x
542;77;92;128;Madraspatnam;x
543;205;94;192;Kondavidu;x
544;77;96;255;Vijayanagara;x
545;205;98;0;Haydaràbàd;x
546;78;100;64;Gondoranya;x
547;206;102;128;Tirupati;x
548;78;104;192;Sambalpur;x
549;206;106;255;Surguja;x
550;78;108;0;Gird;x
551;206;110;64;Sistan;x
552;78;112;128;Garhjat;x
553;207;114;192;Yannam;x
554;79;116;255;Baisi Rajya;x
555;207;118;0;Oudh;x
556;79;120;64;Bundelkhand;x
557;207;122;128;Katmandu;x
558;79;124;192;Patna;x
559;207;126;255;Kukara;x
560;80;128;0;Orissa;x
561;208;130;64;Bengal;x
562;80;132;128;Sikkim;x
563;208;134;192;Sunderbans;x
564;80;136;255;Bari Doab;x
565;208;138;0;Bhutan;x
566;80;140;64;Darrang;x
567;209;142;128;Silhet;x
568;81;144;192;Chittagong;x
569;209;146;255;Manipur;x
570;81;148;0;Ahom;x
571;209;150;64;Brahmaputra;x
572;81;152;128;Jaffna;x
573;209;154;192;Kotte;x
574;82;156;255;Andaman;x
575;210;158;0;Balochistan;x
576;82;32;64;Lasbela;x
577;210;34;128;Quetta;x
578;82;36;192;Hazarajat;x
579;210;38;255;Rakhinetha;x
580;82;40;0;Chin;x
581;211;42;64;Meng Mit;x
582;83;44;128;Mong Kawng;x
583;211;46;192;Hsenwi;x
584;83;48;255;Ava;x
585;211;50;0;Mrauk U;x
586;83;52;64;Thanlyin;x
587;211;54;128;Yawnghwe;x
588;84;56;192;Mong Tong;x
589;212;58;255;Nan;x
590;84;60;0;Moulmein;x
591;212;62;64;Tanaosri;x
592;84;64;128;Nakhon Si Thamarat;x
593;212;66;192;Surat Thani;x
594;84;68;255;Songkhla;x
595;213;70;0;Perak;x
596;85;72;64;Malacca;x
597;213;74;128;Johore;x
598;85;76;192;Pahang;x
599;213;78;255;Kelantan;x
600;85;80;0;Ayutthaya;x
601;213;82;64;Suktho Thai;x
602;86;84;128;Lopburi;x
603;214;86;192;Chonburi;x
604;86;88;255;Lavack;x
605;214;90;0;Prey Nokor;x
606;86;92;64;Panduranga;x
607;214;94;128;Indrapura;x
608;86;96;192;Mondulkiri;x
609;215;98;255;Yasodharapura;x
610;87;100;0;Thanh Hoa;x
611;215;102;64;Savanh Nakhane;x
612;87;104;128;Nakhon Ratchasima;x
613;215;106;192;Hai Phong;x
614;87;108;255;Vieng Chan;x
615;215;110;0;Luang Prabang;x
616;88;112;64;Cao Bang;x
617;216;114;128;Aceh;x
618;88;116;192;Batak;x
619;216;118;255;Minangkabau;x
620;88;120;0;Jambi;x
621;216;122;64;Bengkulu;x
622;88;124;128;Srivijaya;x
623;217;126;192;Lampung;x
624;89;128;255;Bantam;x
625;217;130;0;Mataram;x
626;89;132;64;Kediri;x
627;217;134;128;Blambangan;x
628;89;136;192;Pasisir;x
629;217;138;255;Lombok;x
630;90;140;0;Ceribon;x
631;218;142;64;Balidwipa;x
632;90;144;128;Semawa;x
633;218;146;192;Palué;x
634;90;148;255;Sumba;x
635;218;150;0;Kupang;x
636;90;152;64;Brunei;x
637;219;154;128;Sabah;x
638;91;156;192;Kutai;x
639;219;158;255;Kampung Melantai;x
640;91;32;0;Banjarmasin;x
641;219;34;64;Makassar;x
642;91;36;128;Toraja;x
643;219;38;192;Gorontalo;x
644;92;40;255;Minahasa;x
645;220;42;0;Xulla;x
646;92;44;64;Buru;x
647;220;46;128;Seran;x
648;92;48;192;Tidore;x
649;220;50;255;Ternate;x
650;92;52;0;Kanaky;x
651;221;54;64;Sulu;x
652;93;56;128;Cotabato;x
653;221;58;192;Davao;x
654;93;60;255;Leyte;x
655;221;62;0;Palawan;x
656;93;64;64;Cebu;x
657;221;66;128;Ilokos;x
658;94;68;192;Bicol;x
659;222;70;255;Bangka;x
660;94;72;0;Lijiang;x
661;222;74;64;Yongchang;x
662;94;76;128;Lin'an;x
663;222;78;192;Yunnan;x
664;94;80;255;Ningyuan;x
665;223;82;0;Kuizhou;x
666;95;84;64;Chamdo;x
667;223;86;128;Guiyang;x
668;95;88;192;Anshun;x
669;223;90;255;Chenzhou;x
670;95;92;0;Changsha;x
671;223;94;64;Taiping;x
672;96;96;128;Guilin;x
673;224;98;192;Leizhou;x
674;96;100;255;Qiongzhou;x
675;224;102;0;Gaozhou;x
676;96;104;64;Hong Kong;x
677;224;106;128;Macao;x
678;96;108;192;Huizhou;x
679;225;110;255;Zhangzhou;x
680;97;112;0;Fuzhou;x
681;225;114;64;Ganzhou;x
682;97;116;128;Ji'an;x
683;225;118;192;Hengzhou;x
684;97;120;255;Jingzhou;x
685;225;122;0;Chongqing;x
686;98;124;64;Enshi;x
687;226;126;128;Yunyang;x
688;98;128;192;Xiangyang;x
689;226;130;255;Fengyang;x
690;98;132;0;Liu-tcheou;x
691;226;134;64;Huizhou;x
692;98;136;128;Wenzhou;x
693;227;138;192;Quzhou;x
694;99;140;255;Songjiang;x
695;227;142;0;Ningguo;x
696;99;144;64;Huai'an;x
697;227;146;128;Dengzhou;x
698;99;148;192;Yanzhou;x
699;227;150;255;Qingzhou;x
700;100;152;0;Zhangde;x
701;228;154;64;Kaifeng;x
702;100;156;128;Henan;x
703;228;158;192;Shunde;x
704;100;32;255;Baoding;x
705;228;34;0;Hejian;x
706;100;36;64;Yongping;x
707;229;38;128;Liaoning;x
708;101;40;192;Dadu;x
709;229;42;255;Xuande;x
710;101;44;0;Wuzhou;x
711;229;46;64;Zhaoqing;x
712;101;48;128;Raozhou;x
713;229;50;192;Juu Uda;x
714;102;52;255;Timika;x
715;230;54;0;Uliastai;x
716;102;56;64;Tanimbar;x
717;230;58;128;Tüshiyetü;x
718;102;60;192;Dahanerduo;x
719;230;62;255;Ulunber;x
720;102;64;0;Xilin Gol;x
721;231;66;64;Malgal;x
722;103;68;128;Ordos;x
723;231;70;192;Morgen;x
724;103;72;255;Zhending;x
725;231;74;0;Alachuka;x
726;103;76;64;Tsitsihar;x
727;231;78;128;Aigun;x
728;104;80;192;Yilan Hala;x
729;232;82;255;Ningguta;x
730;104;84;0;Paeseo;x
731;232;86;64;Jilin;x
732;104;88;128;Gwanbuk;x
733;232;90;192;Haeseo;x
734;104;92;255;Yeongseo;x
735;232;94;0;Yanggwang;x
736;105;96;64;Yeongnam;x
737;233;98;128;Honam;x
738;105;100;192;Sandakan;x
739;233;102;255;Aksu;x
740;105;104;0;Changtang;x
741;233;106;64;Yabaraya;x
742;106;108;128;Yanonami;x
743;234;110;192;Orinoco;x
744;106;112;255;Essequibo;x
745;234;114;0;Tapanahomi;x
746;106;116;64;Apalai;x
747;234;118;128;Wayapi;x
748;106;120;192;Tupi;x
749;235;122;255;Tembe;x
750;107;124;0;Kuruya;x
751;235;126;64;Urubu'kaapoor;x
752;107;128;128;Apinayé;x
753;235;130;192;Tupinamba;x
754;107;132;255;Potiguana;x
755;235;134;0;Tapeba;x
756;108;136;64;Xucuru;x
757;236;138;128;Fulniô;x
758;108;140;192;Piaui;x
759;236;142;255;Kraho;x
760;108;144;0;Guajajara;x
761;236;146;64;Maxacali;x
762;108;148;128;Nac-Poruk;x
763;237;150;192;Pankararu;x
764;109;152;255;Karapoto;x
765;237;154;0;Tupiniki;x
766;109;156;64;Tuxá;x
767;237;158;128;Xobleng;x
768;109;32;192;Mehinaco;x
769;237;34;255;Piquiri;x
770;110;36;0;Aweikoma;x
771;238;38;64;Xavante;x
772;110;40;128;Charrua;x
773;238;42;192;Korowai;x
774;110;44;255;Izoceño;x
775;238;46;0;Chaku;x
776;110;48;64;Chanáes;x
777;239;50;128;Jayapura;x
778;111;52;192;Diduhet;x
779;239;54;255;Chechehet;x
780;111;56;0;Pampa;x
781;239;58;64;Ranqülche;x
782;111;60;128;Mánekenk;x
783;239;62;192;Aonikenk;x
784;112;64;255;Huilliche;x
785;240;66;0;Tehuelche;x
786;112;68;64;Pehuenche;x
787;240;70;128;Bío Bío;x
788;112;72;192;Huarpe;x
789;240;74;255;Taluhet;x
790;112;76;0;Qom-lik;x
791;241;78;64;Calchaqui;x
792;113;80;128;Pasto;x
793;241;82;192;Quito;x
794;113;84;255;Omaguaca;x
795;241;86;0;Atacama;x
796;113;88;64;Hatun Canar;x
797;241;90;128;Huancavilcas;x
798;114;92;192;Chuquimayo;x
799;242;94;255;Yolngu;x
800;114;96;0;Chaqu;x
801;242;98;64;Bororo;x
802;114;100;128;Bauré;x
803;242;102;192;Moxos;x
804;114;104;255;Sechura;x
805;243;106;0;Vlorë;x
806;115;108;64;Chanchan;x
807;243;110;128;Chachapoyas;x
808;115;112;192;Huamanga;x
809;243;114;255;Chimu;x
810;115;116;0;Payungu;x
811;243;118;64;Kasha Marka;x
812;116;120;128;Moche;x
813;244;122;192;Panatahuas;x
814;116;124;255;Shipibo;x
815;244;126;0;Ucayali;x
816;116;128;64;Pachacamac;x
817;244;130;128;Wudjari Nyungar;x
818;116;132;192;Zaparo;x
819;245;134;255;Huánuco;x
820;117;136;0;Huancayo;x
821;245;138;64;Putomayo;x
822;117;140;128;Otaku;x
823;245;142;192;Tumaco;x
824;117;144;255;Achagua;x
825;245;146;0;Kamemtxa;x
826;118;148;64;Chibchan;x
827;246;150;128;Chocoan;x
828;118;152;192;Waimiri;x
829;246;154;255;Yaruro;x
830;118;156;0;Maracaibo;x
831;246;158;64;Waraoni;x
832;118;32;128;Kareguaje;x
833;247;34;192;Tunebo;x
834;119;36;255;Cuzcatlan;x
835;128;38;79;Cueva;x
836;0;40;126;Huetares;x
837;128;42;173;Tologalpa;x
838;0;44;32;Miskitu;x
839;128;46;79;Lenca;x
840;0;48;126;K'iche';x
841;129;50;173;Xelaju;x
842;1;52;32;Ch'orti';x
843;129;54;79;Chactemal;x
844;1;56;126;Tak'alik A'baj';x
845;129;58;173;Ah Canul;x
846;1;60;32;Cupul;x
847;129;62;79;Tototepec;x
848;2;64;126;Cuextecapan;x
849;130;66;173;Yopihtzinco;x
850;2;68;32;Yohualtepec;x
851;130;70;79;Tinda'i;x
852;2;72;126;Tepannecapan;x
853;130;74;173;Tamaholipan;x
854;2;76;32;Cihuatlan;x
855;131;78;79;Cazcán;x
856;3;80;126;Zapotlan;x
857;131;82;173;Zacatecapan;x
858;3;84;32;Sepinpicam;x
859;131;86;79;Autlán;x
860;3;88;126;Acaxee;x
861;131;90;173;Coachichitl;x
862;4;92;32;Comcaac;x
863;132;94;79;Paikawa;x
864;4;96;126;Náayarite;x
865;132;98;173;Cochimi;x
