province;red;green;blue;
2399;40;149;70;Kaliskie
2400;168;151;120;Leczyckie
2401;40;153;170;Poznanskie
2402;168;155;220;Meztitlan
2403;40;157;20;Tzacapo
2404;169;159;70;Otompan
2405;41;1;120;Xilotepec
2406;169;3;170;Tolohcan
2407;41;5;220;Tlachco
2408;169;7;20;Huaxtepec
2409;41;9;70;Cholollan
2410;169;11;120;Xalco
2411;42;13;170;Tamactun
2412;170;15;220;Oxchuc
2413;42;17;20;Chiik Naab'
2414;170;19;70;Ekab
2415;42;21;120;Tutul Xiu
2416;170;23;170;Tolupan
2417;42;25;220;Psay Dek
2418;171;27;20;Bo Chinh
2419;43;29;70;Lam Binh
2420;171;31;120;Phetchaburi
2421;43;33;170;Suphanburi
2422;171;35;220;Phitsanulok
2423;43;37;20;Hapinachai
2424;171;39;70;Kengtong
2425;44;41;120;Pyay
2426;172;43;170;Dagon
2427;44;45;220;Magwe
2428;172;47;20;Pagan
2429;44;49;70;Sagaing
2430;172;51;120;Raja Ampat
2431;44;53;170;Bacan
2432;173;55;220;Banggai
2433;45;57;20;Tolaki
2434;173;59;70;Buton
2435;45;61;120;Mino
2436;173;63;170;Kom�rom
2437;45;65;220;Gorny  Cheremisy
2438;173;67;20;Bashkiria
2439;46;69;70;Mordoviya
2440;174;71;120;Hillin
2441;46;73;170;Nganasian
2442;174;75;220;Ishim
2443;46;77;20;Bersh
2444;174;79;70;Yaik
2445;46;81;120;Yenisei
2446;175;83;170;Kotuy
2447;47;85;220;Yakut
2448;175;87;20;Badajoz
2449;47;89;70;Opper-Gelre
2450;175;91;120;Drenthe
2451;47;93;170;Loe�n
2452;175;95;220;Triest
2453;48;97;20;R�mne
2454;176;99;70;Ourense
2455;48;101;120;Chutki
2456;176;103;170;Hymalaya
2457;48;105;220;Hindu Kush
2458;176;107;20;Pamir
2459;48;109;70;Aconcagua
2460;177;111;120;Michinmahuida
2461;49;113;170;Mazatzal
2462;177;115;220;Shaozhou
2463;49;117;20;Garz�
2464;177;119;70;Luoding
2465;49;121;120;Aqmola
2466;177;123;170;Absaroka
2467;50;125;220;Zezhou
2468;178;127;20;Taiyuan
2469;50;129;70;Ktunaxa
2470;178;131;120;Muskwa
2471;50;133;170;Pingyang
2472;178;135;220;Runing
2473;50;137;20;Calatayud
2474;179;139;70;Chukchi
2475;51;141;120;Nikanassin
2476;179;143;170;Fenzhou
2477;51;145;220;Nanchang
2478;179;147;20;Linjiang
2479;51;149;70;Mistassini
2480;179;151;120;Nankang
2481;52;153;170;Torngat
2482;180;155;220;Groenland
2483;52;157;20;Amazonia
2484;180;159;70;Jianning
2485;52;1;120;Guide
2486;180;3;170;Chaozhou
2487;52;5;220;Amazonia
2488;181;7;20;Tingzhou
2489;53;9;70;Amazonia
2490;181;11;120;Funing
2491;53;13;170;Dongchang
2492;181;15;220;Laizhou
2493;53;17;20;Yanzhou
2494;181;19;70;Jinhua
2495;54;21;120;Amazonia
2496;182;23;170;Nuba
2497;54;25;220;Qasr Karafra
2498;182;27;20;Al Munufiyya
2499;54;29;70;Al Beheira
2500;182;31;120;Al Fula
2501;54;33;170;Didymoteicho
2502;183;35;220;Bir Maql
2503;55;37;20;Barka
2504;183;39;70;Tidikelt
2505;55;41;120;Kongo
2506;183;43;170;Wizna
2507;55;45;220;Belz
2508;183;47;20;Sahara
2509;56;49;70;Kgalagadi
2510;184;51;120;Hsu-Chou
2511;56;53;170;Kalimantan
2512;184;55;220;Am Monadh
2513;56;57;20;Papua
2514;184;59;70;Lapurdi
2515;56;61;120;Borghand�holm
2516;185;63;170;Pitjantjatjara
2517;57;65;220;Kintore
2518;102;202;252;West Nova Scotia Basin
2519;103;222;252;America-Antarctica Ridge
2520;157;139;225;Ascension
2521;126;202;252;Kerguelen Islands
2522;127;222;252;Enderby Abyssal Plain
2523;0;253;253;Broken Ridge
2524;87;223;253;Udintsev Fracture Zone
2525;30;141;25;Cocos
2526;89;203;203;Louisville Ridge
2527;90;203;253;Rapa Nui
2528;113;203;203;Jarbah
2529;57;67;0;Mide
2530;185;67;20;Roma
2531;57;69;70;Napule
2532;185;71;120;Salierno
2533;57;73;170;Capitanata
2534;185;75;220;Cusenza
2535;58;77;20;Kholm
2536;186;79;70;Sadeckie
2537;58;81;120;Kremenets
2538;186;83;170;Oman
2539;58;85;220;Sharjah
2540;186;87;20;Aksaray
2541;58;89;70;Tosya
2542;187;91;120;Aksehir
2543;59;93;170;Al Fayym
2544;187;95;220;Dongola
2545;59;97;20;Donets
2546;187;99;70;Kashin
2547;59;101;120;Udmurtia
2548;187;103;170;Usolka
2549;60;105;220;Abkhazia
2550;188;107;20;Xiberoa
2551;60;109;70;Diyar-i Bekr
2552;188;111;120;Bursa
2553;60;113;170;Eskisehir
2554;1;115;1;Vadarbha
2555;3;117;51;Katehar
2556;5;119;101;Dera Ghazi Khan
2557;7;121;151;Awadh
2558;9;123;201;Chandrapur
2559;11;125;251;Kordestan
2560;13;215;203;Daming
2561;188;115;220;Lignica
2562;60;117;20;Cajeta
2563;189;119;70;Valdarno
2564;61;121;120;Masa
2565;189;123;170;X�tiva
2566;61;125;220;Soria
2567;189;127;20;Cuenca
2568;61;129;70;Surat
2569;189;131;120;Sahyadri
2570;63;133;170;Kochi
2571;191;135;220;Jadera
2572;63;137;20;Dodek�nisa
2573;191;139;70;Cherkio
2574;63;141;120;Eis Amisos
2575;191;143;170;Al Karak
2576;63;145;220;Herethi
2577;193;147;20;Artsakh
2578;65;149;70;Kabarda
2579;193;151;120;Noxciyo
2580;65;153;170;Uglich
2581;193;155;220;Kars
2582;65;157;20;Kolomna
2583;193;159;70;Toropetsky
2584;67;1;120;Shikarpur
2585;195;3;170;Daru
2586;67;5;220;Sangihe
2587;195;7;20;Wa'ab
2588;67;9;70;Malagan
2589;195;11;120;Tagula
2590;67;13;170;Nagoniara
2591;197;15;220;Canarreos
2592;69;17;20;Caim�n
2593;197;19;70;Tobago
2594;69;21;120;Camahogne
2595;197;23;170;Calliaqua
2596;69;25;220;Ay-Ay
2597;197;27;20;Atotonilco
2598;71;29;70;Papantla
2599;199;31;120;Tochtepec
2600;71;33;170;Sahayuco
2601;199;35;220;Mitclan
2602;71;37;20;Texistepec
2603;199;39;70;Coyatoc
2604;71;41;120;Chinamitlacalt
2605;201;43;170;Nanyang
2606;73;45;220;Yanping
2607;201;47;20;Yangzhou
2608;73;49;70;Kuki 'Airani
2609;201;51;120;Roch�
2610;73;53;170;Norfuk Ailen
2611;201;55;220;Tes�n
2612;75;57;20;Beograd
2613;203;59;70;Anqing
2614;75;61;120;Dillingen
2615;203;63;170;Hohenzollern
2616;75;65;220;Darmstadt
2617;203;67;20;Meissen
2618;75;69;70;G�ttingen
2619;205;71;120;Vogtland
2620;77;73;170;Niederlausitz
2621;205;75;220;Prignitz
2622;77;77;20;Constanz
2623;205;79;70;Berg
2624;77;81;120;Valtulina
2625;205;83;170;Bozen
2626;79;85;220;Soroca
2627;207;87;20;Machilipatnam
2628;79;89;70;Velandu
2629;207;91;120;Koodalur
2630;79;93;170;Visakhapatnam
2631;207;95;220;Shekhawati
2632;79;97;20;Varanasi
2633;209;99;70;Swidnica
2634;81;101;120;Ghazza
2635;209;103;170;Al Jalil
2636;81;105;220;Hawran
2637;209;107;20;Mark
2638;81;109;70;Toboso
2639;209;111;120;Lagunero
2640;83;113;170;Xalixko
2641;211;115;220;Tecuexe
2642;83;117;20;Coliman
2643;211;119;70;Totonacapan
2644;83;121;120;Quauhtochco
2645;211;123;170;Tlaxiaco
2646;83;125;220;Pen Itza
2647;213;127;20;Uaymil
2648;85;129;70;Can Pech
2649;213;131;120;Qasr Ibrim
2650;85;133;170;Sawakin
2651;213;135;220;Ha'il
2652;85;137;20;Riyadh
2653;213;139;70;Ta'izz
2654;87;141;120;Baban
2655;215;143;170;Antep
2656;87;145;220;Kizlyar
2657;215;147;20;Ghadames
2658;87;149;70;Ghardaiya
2659;215;151;120;Ouargla
2660;87;153;170;Dar Ja'al
2661;217;155;220;Kargah
2662;89;157;20;Mistratah
2663;217;159;70;Qabis
2664;89;1;120;Sivas
2665;217;3;170;Tabouk
2666;89;5;220;Kerma
2667;217;7;20;Nah�ya
2668;91;9;70;Chanthaburi
2669;219;11;120;Warin
2670;91;13;170;Kamphaeng Phet
2671;219;15;220;Oneida
2672;91;17;20;Pulicat
2673;219;19;70;Thanjavur
2674;91;21;120;Gingee
2675;221;23;170;Morasunada
2676;93;25;220;Malenadu
2677;221;27;20;Savanaur
2678;93;29;70;Raichur Doab
2679;221;31;120;Kolhapur
2680;93;33;170;Pune
2681;221;35;220;Bidar
2682;95;37;20;Bastar
2683;223;39;70;Raipur
2684;95;41;120;Nagpur
2685;223;43;170;Gondwana
2686;95;45;220;Mahakoshal
2687;223;47;20;Baghelkhand
2688;95;49;70;Birhar
2689;225;51;120;Baghalpur
2690;97;53;170;Tirhut
2691;225;55;220;Chausi Rajya
2692;97;57;20;Limbuwan
2693;225;59;70;Barind
2694;97;61;120;Koch Berar
2695;225;63;170;Koch Hajo
2696;99;65;220;Dakka
2697;227;67;20;Meghalaya
2698;99;69;70;Cachar
2699;227;71;120;Tripura
2700;99;73;170;Kangra
2701;227;75;220;Garhwal
2702;99;77;20;Kalpi
2703;229;79;70;Chanderi
2704;101;81;120;Ranthambore
2705;229;83;170;Mewat
2706;101;85;220;Dhundhar
2707;229;87;20;Chittor
2708;101;89;70;Vagad
2709;229;91;120;Rewa Kantha
2710;103;93;170;Rajkot
2711;231;95;220;Bhavnagar
2712;103;97;20;Girnar
2713;231;99;70;Halar
2714;103;101;120;Patan
2715;231;103;170;Rann
2716;103;105;220;Thatta
2717;233;107;20;Khyrpur
2718;105;109;70;Jaisalmer
2719;233;111;120;Pugal
2720;105;113;170;Churru
2721;233;115;220;Cholistan
2722;105;117;20;Dera Ismail Khan
2723;233;119;70;Mahikhanta
2724;107;121;120;Ilam
2725;235;123;170;Larestan
2726;107;125;220;Dezful
2727;235;127;20;Mae Hong Song
2728;107;129;70;Kayah
2729;235;131;120;Xiankhoang
2730;107;133;170;Houapan
2731;237;135;220;Lai Chau
2732;109;137;20;Surin
2733;237;139;70;Preah Vihear
2734;109;141;120;Sre Ambol
2735;237;143;170;Jolor
2736;109;145;220;Kedah
2737;237;147;20;Penang
2738;111;149;70;Phuket
2739;239;151;120;Kachin
2740;111;153;170;Kashgar
2741;239;155;220;Hotan
2742;111;157;20;�r�mqi
2743;239;159;70;Kumul
2744;111;161;120;Karafuto
2745;241;163;170;Yarkand
2746;113;165;220;Qarqan
2747;241;167;20;Takla Makan
2748;113;169;70;Aksai Chin
2749;241;171;120;Candia
2750;113;173;170;Famagusta
2751;241;175;220;Tamar�n
2752;115;177;20;Maraj�
2753;243;179;70;Chiang Hung
2754;115;181;120;Nordslesvig
2755;243;183;170;Syaland
2756;115;185;220;Mainz
2757;243;187;20;Marburg
2758;115;189;70;Nzema
2759;245;191;120;Aki�
2760;117;193;170;Malinke
2761;245;195;220;Nz�r�kor�
2762;117;197;20;Senoufo
2763;245;199;70;Gwiriko
2764;117;201;120;Bobo
2765;245;203;170;Kankan
2766;119;205;220;Faranah
2767;247;207;20;Kasa
2768;119;209;70;Conakry
2769;247;211;120;Jola
2770;119;213;170;Kaabu
2771;247;215;220;Inchiri
2772;185;67;50;Hodh Ech Chargui
2773;57;69;100;Zinguinchor
2774;185;71;150;Gajaaga
2775;57;73;200;Chinguetti
2776;185;75;250;Akwa Ibom
2777;58;77;50;Ngambai
2778;186;79;100;Sabe
2779;58;81;150;Ambozes
2780;186;83;200;Borgu
2781;58;85;250;Brong
2782;115;203;253;Ionian Basin
2783;116;203;203;Peloponnese Coast
2784;117;203;253;Levantine Basin
2785;118;203;203;Ohi-yo
2786;186;87;50;Ogun
2787;58;89;100;Osun
2788;187;91;150;Taraba
2789;59;93;200;Kwararafa
2790;187;95;250;Anambra
2791;59;97;50;Igala
2792;187;99;100;Kalam
2793;59;101;150;Jiading
2794;187;103;200;Kaduna
2795;60;105;250;Limburg
2796;188;107;50;Omi
2797;60;109;100;Shunqing
2798;188;111;150;Alpes
2799;60;113;200;Piren�us
2800;188;115;250;Dokrogang
2801;60;117;50;Hwangju
2802;189;119;100;Gijeon
2803;61;121;150;Hoseo
2804;189;123;200;Yeosu
2805;61;125;250;Gyeongju
2806;189;127;50;Yeongdong
2807;61;129;100;Al Ma'ajmah
2808;189;131;150;Jaww
2809;63;133;200;'Unayzah'
2810;191;135;250;Khaybar
2811;63;137;50;Sakakah
2812;191;139;100;Vosges
2813;63;141;150;Weimar
2814;191;143;200;Inowroclawskie
2815;63;145;250;Dobrzyn
2816;193;147;50;Liw
2817;65;149;100;Nong Bua Lamphu
2818;193;151;150;Sakhon Nakhon
2819;65;153;200;Battambang
2820;193;155;250;Prachinburi
2821;65;157;50;Nakhon Sawat
2822;193;159;100;Thaton
2823;67;1;150;Bassein
2824;195;3;200;Pattani
2825;67;5;250;Kanchanaburi
2826;195;7;50;Strung Treng
2827;67;9;100;Prey Veng
2828;195;11;150;Terrenganu
2829;67;13;200;Attapeu
2830;197;15;250;Selangor
2831;69;17;50;Klodzko
2832;197;19;100;Czestochowa
2833;69;21;150;Tarnow
2834;197;23;200;Walcz
2835;69;25;250;Lubusz
2836;197;27;50;Novogrodek
2837;71;29;100;Sluck
2838;199;31;150;Ostrog
2839;71;33;200;Mozyrz
2840;199;35;250;Homel
2841;71;37;50;Nevel
2842;199;39;100;Siebiez
2843;71;41;150;Stralsund
2844;201;43;200;Pyritz
2845;73;45;250;Lauenburg
2846;201;47;50;Burgenland
2847;73;49;100;Stargard
2848;201;51;150;Cherkassy
2849;73;53;200;Colberg
2850;201;55;250;B�rwald
2851;75;57;50;Pumonte
2852;203;59;100;Gallura
2853;75;61;150;Trapani
2854;203;63;200;Caltanissetta
2855;75;65;250;Catania
2856;203;67;50;Bari
2857;75;69;100;Abruzzo Citra
2858;205;71;150;Abruzzo Ultra
2859;77;73;200;Trablus Garb
2860;205;75;250;Baja
2861;77;77;50;Tamurt n Leqbayel
2862;205;79;100;Nabeul
2863;77;81;150;Bejaia
2864;205;83;200;Tizi Ouzou
2865;79;85;250;Mers el Kebir
2866;207;87;50;Ain Timouchent
2867;79;89;100;Safaqis
2868;207;91;150;Susa
2869;79;93;200;Sal�
2870;207;95;250;Arguin
2871;79;97;50;Gor�e
2872;209;99;100;Cacheu
2873;81;101;150;Sherbro
2874;209;103;200;Assinie
2875;81;105;250;Axim
2876;209;107;50;Accra
2877;81;109;100;Ouidah
2878;209;111;150;Elmina
2879;83;113;200;Luanda
2880;211;115;250;Igala
2881;83;117;50;Cape
2882;211;119;100;Ndar
2883;83;121;150;Bathurst
2884;211;123;200;Kogi
2885;83;125;250;Ijebu
2886;213;127;50;Ketu
2887;85;129;100;Ekiti
2888;213;131;150;Moshi
2889;85;133;200;Ondo
2890;213;135;250;Hogbonou
2891;85;137;50;Phla-Phera
2892;213;139;100;Sanwi
2893;87;141;150;Kansala
2894;215;143;200;Kindia
2895;87;145;250;Bok�
2896;215;147;50;Agadir
2897;87;149;100;Kong
2898;215;151;150;Senoufo
2899;87;153;200;Bagadougou
2900;217;155;250;Lobi
2901;89;157;50;Baoul�
2902;217;159;100;Bilanga
2903;89;1;150;Liptako
2904;217;3;200;Takrur
2905;89;5;250;Bundu
2906;217;7;50;Landuma
2907;91;9;100;Haayre
2908;219;11;150;Hombori
2909;91;13;200;Sikasso
2910;219;15;250;Kolondieba
2911;91;17;50;Do
2912;219;19;100;Bambuk
2913;91;21;150;Hamdullahi
2914;221;23;200;Douentza
2915;93;25;250;Azawad
2916;221;27;50;Baghena
2917;93;29;100;Asongo
2918;221;31;150;Menaka
2919;93;33;200;Tillab�ri
2920;221;35;250;Tahoua
2921;95;37;50;Sokoto
2922;223;39;100;Karabara
2923;95;41;150;Tadmekka
2924;223;43;200;Gobir
2925;95;45;250;Sbira
2926;223;47;50;Ningi
2927;95;49;100;Kalam
2928;225;51;150;Azbin
2929;97;53;200;Itesan
2930;225;55;250;Kawar
2931;97;57;50;Tenere
2932;225;59;100;Kasdir
2933;97;61;150;Titteri
2934;225;63;200;Awras
2935;99;65;250;Ouled Na�l
2936;227;67;50;Touggourt
2937;99;69;100;Tataouine
2938;227;71;150;Sabha
2939;99;73;200;Kufra
2940;227;75;250;Zemmour
2941;99;77;50;Jbala
2942;229;79;100;Gharb
2943;101;81;150;Sous
2944;229;83;200;Mogador
2945;101;85;250;Yao
2946;229;87;50;Kotoko
2947;101;89;100;Logone
2948;229;91;150;Moundou
2949;103;93;200;Muniyo
2950;231;95;250;Bedde
2951;103;97;50;Butuna
2952;231;99;100;Midesisa
2953;103;101;150;Al Obaid
2954;231;103;200;Sahra an Nubyah
2955;103;105;250;Mopti
2956;233;107;50;Gobnangou
2957;105;109;100;Boussanse
2958;233;111;150;Yansi
2959;105;113;200;Djilgodi
2960;233;115;250;Illo
2961;105;117;50;Nikki
2962;233;119;100;Mazagan
2963;107;121;150;Bual�
2964;235;123;200;Trarza
2965;107;125;250;Galam
2966;235;127;50;Futa Jallon
2967;107;129;100;Matamba
2968;235;131;150;Shangwe
2969;107;133;200;Zumbo
2970;237;135;250;Butua
2971;109;137;50;Tingitania
2972;237;139;100;Arrif
2973;109;141;150;Cacongo
2974;237;143;200;Songo
2975;109;145;250;Libango
2976;237;147;50;Mpango
2977;111;149;100;Mbulassa
2978;239;151;150;Dvando
2979;111;153;200;Ngola
2980;239;155;250;Mafangano
2981;111;157;50;Catambo
2982;239;159;100;Inhambane
2983;111;161;150;Chiveve
2984;241;163;200;Cinde
2985;113;165;250;Angoche
2986;241;167;50;Inhassoro
2987;113;169;100;Beira
2988;241;171;150;Chimole
2989;113;173;200;Manica
2990;241;175;250;Tete
2991;115;181;50;Sena
2992;243;183;100;Shanora
2993;115;185;150;Chikanga
2994;243;187;200;Pemba
2995;115;189;250;Kilifi
2996;245;191;50;Lamu
2997;117;193;100;Pate
2998;245;195;150;Kambooni
2999;117;197;200;Gafsa
3000;245;199;250;Mpeketomi
3001;0;1;25;Kadugli
3002;128;3;75;Abu Jubaiyah
3003;0;5;125;Minya
3004;128;7;175;Ras Gharib
3005;0;9;225;Halaib
3006;128;11;25;Tajura
3007;0;13;75;Welega
3008;129;15;125;Illubabor
3009;1;17;175;Hadendowa
3010;129;19;225;Dembiya
3011;1;21;25;Lasta
3012;129;23;75;Dewe
3013;1;25;125;Amibara
3014;129;27;175;Ewe
3015;2;29;225;Afambo
3016;130;31;25;Tana
3017;2;33;75;Wej
3018;130;35;125;Abala
3019;2;37;175;Fugug
3020;130;39;225;Sidamo
3021;2;41;25;Dawaro
3022;131;43;75;Hamasien
3023;3;45;125;Serae
3024;131;47;175;Agordat
3025;3;49;225;Butana
3026;131;51;25;Taka
3027;3;53;75;Beja
3028;131;55;125;Noubadia
3029;4;57;175;Fazogli
3030;132;59;225;Shilluk
3031;4;61;25;Taqali
3032;132;63;75;Baraawe
3033;4;65;125;Marka
3034;132;67;175;Warsheikh
3035;4;69;225;Mareeg
3036;133;71;25;Hobyaa
3037;5;73;75;Jaribaan
3038;133;75;125;Barbacadle
3039;5;77;175;Ras Hafun
3040;133;79;225;Issa
3041;5;81;25;Harari
3042;133;83;75;Gadabursi
3043;6;85;125;Bur
3044;134;87;175;Berbera
3045;6;89;225;Agew
3046;134;91;25;Hargeisa
3047;6;93;75;Mait
3048;134;95;125;Habr Tojaala
3049;6;97;175;Warsangeli
3050;135;99;225;Bender Kassim
3051;7;101;25;Habr Garxajis
3052;135;103;75;Dulbahante
3053;7;105;125;Majerteen
3054;135;107;175;Galkacyo
3055;7;109;225;Hiraab
3056;135;111;25;El Dere
3057;8;113;75;Afgooye
3058;136;115;125;Baydhabo
3059;8;117;175;Biyomal
3060;136;119;225;Marehan
3061;8;121;25;Dusamareb
3062;136;123;75;Talamuge
3063;8;125;125;Hararghe
3064;137;127;175;Aulihan
3065;9;129;225;Semien
3066;137;131;25;Hadiya
3067;9;133;75;Arsi
3068;137;135;125;AshSharqiya
3069;9;137;175;Al Buraimi
3070;137;139;225;Li'wa
3071;10;141;25;Qassem
3072;138;143;75;Hafar
3073;10;145;125;Najran
3074;138;147;175;Haima
3075;10;149;225;Beidah
3076;138;151;25;Taif
3077;10;153;75;Jeddah
3078;139;155;125;Alborn
3079;11;157;175;Markazi
3080;139;159;225;Sharhekand
3081;11;161;25;Yasuj
3082;139;163;75;Ardestan
3083;11;165;125;Semnan
3084;139;167;175;Maysan
3085;12;169;225;Dhi Qar
3086;140;171;25;Al Qadisiyyah
3087;12;173;75;Diyala
3088;140;175;125;Erbil
3089;12;177;175;Al Anbar
3090;140;179;225;Lankaran
3091;12;181;25;Zor
3092;141;183;75;Shahrud
3093;13;185;125;Mardin
3094;141;187;175;Zaranje
3095;13;189;225;Farah
3096;141;191;25;Helmand
3097;13;193;75;Garmsir
3098;141;195;125;Zhob
3099;14;197;175;Chaghi
3100;142;199;225;Kharan
3101;14;201;25;Sukkur
3102;142;203;75;Gujranwala
3103;14;205;125;Shahpur
3104;142;207;175;Rawalpindi
3105;14;209;225;Zaskar
3106;143;211;25;Ludhiana
3107;15;213;75;Changthang
3108;143;215;125;Bahawalpur
3109;15;217;175;Amritsar
3110;143;219;225;Mandi
3111;15;221;25;Patiala
3112;143;223;75;Bashahr
3113;16;225;125;Sirmur
3114;144;227;175;Ambala
3115;16;229;225;Rohtak
3116;144;231;25;Jhalawar
3117;16;233;75;Bundi
3118;144;235;125;Karauli
3119;16;237;175;Dholpur
3120;145;239;225;Bhartpur
3121;17;241;25;Mallani
3122;145;243;75;Sirohi
3123;17;245;125;Gurgaon
3124;145;247;175;Palanpur
3125;17;249;225;Baroda
3126;145;251;25;Bulandshahr
3127;18;253;75;Moradabad
3128;146;255;125;Sitapur
3129;18;1;175;Bahraich
3130;146;3;225;Rai Bareli
3131;18;5;25;Agra
3132;146;7;75;Fatehpur
3133;18;9;125;Bandha
3134;147;11;175;Basti
3135;19;13;225;Azamghar
3136;147;15;25;Champaran
3137;19;17;75;Goona
3138;147;19;125;Bhilsa
3139;19;21;175;Bhopal
3140;147;23;225;Narsinghoarh
3141;20;25;25;Indore
3142;148;27;75;Bhopawar
3143;20;29;125;Smanpur
3144;148;31;175;Mumbai
3145;20;33;225;Ratnagiri
3146;148;35;25;Nasik
3147;20;37;75;Satara
3148;149;39;125;Maratha
3149;21;41;175;Belagavi
3150;149;43;225;Sawantwar
3151;21;45;25;Karwar
3152;149;47;75;Kanara
3153;21;49;125;Nagar
3154;149;51;175;Bengaluru
3155;22;53;225;Anantapur
3156;150;55;25;Sharetala
3157;22;57;75;Quillon
3158;150;59;125;Arrupalutai
3159;22;61;175;Chengalpat
3160;150;63;225;Nalgonda
3161;22;65;25;Medak
3162;151;67;75;Yelgandal
3163;23;69;125;Sirpur
3164;151;71;175;Aurangabad
3165;23;73;225;Bhir
3166;151;75;25;Balaghat
3167;23;77;75;Bhandara
3168;151;79;125;Nimar
3169;24;81;175;Hoshangabad
3170;152;83;225;Narsinghpur
3171;24;85;25;Jabalpur
3172;152;87;75;Kawardah
3173;24;89;125;Bilaspur
3174;152;91;175;Godavari
3175;24;93;225;Ganjam
3176;153;95;25;Bankura
3177;25;97;75;Anugul
3178;153;99;125;Kendujhar
3179;25;101;175;Singhbhum
3180;153;103;225;Manbhum
3181;25;105;25;Hazabiragh
3182;153;107;75;Midnapur
3183;26;109;125;Bardwan
3184;154;111;175;Deogharh
3185;26;113;225;Purniah
3186;154;115;25;Jalpaiguri
3187;26;117;75;Dinajpur
3188;154;119;100;Rangpur
3189;26;121;175;Maimansingh
3190;155;123;225;Noakhali
3191;27;125;25;Tipperah
3192;155;127;75;Dhamai
3193;27;129;125;Sadiya
3194;155;131;175;Kale
3195;27;133;225;Thaungdut
3196;155;135;25;Tamanthi
3197;28;137;75;Hkamti Long
3198;156;139;125;Malebum
3199;28;141;175;Bagasra
3200;156;143;225;Pali
3201;28;145;25;Khandy
3202;156;147;75;Gaya
3203;28;149;125;Rajshahi
3204;157;151;175;Dhenkanal
3205;29;153;225;Kampeng
3206;157;155;25;Siang
3207;29;157;75;Gyantse
3208;157;159;125;Nagqu
3209;29;161;175;Derge
3210;157;163;225;Bayingol
3211;30;165;25;Kucha
3212;158;167;75;Tienshan
3213;30;169;125;Turfan
3214;158;171;175;Lay Mro
3215;30;173;225;Hanthawaddy
3216;158;175;25;Tharawadi
3217;30;177;75;Shwegyin
3218;159;179;125;Kayin
3219;31;181;175;Lamphun
3220;159;183;225;Uttaradit
3221;31;185;25;Thawai
3222;159;187;75;Rundung
3223;31;189;125;Ratchaburi
3224;159;191;175;Petchbun
3225;32;193;225;Chaiyaphum
3226;160;195;25;Angkor
3227;32;197;75;Pursat
3228;160;199;125;Kampong Chhang
3229;32;201;175;Dak Lak
3230;160;203;225;Gia Lai
3231;32;205;25;Muang Khong
3232;161;207;75;Sekong
3233;33;209;125;Khammouan
3234;161;211;175;Phongsali
3235;33;213;225;Luang Namtha
3236;161;215;25;Krabi
3237;33;217;75;Setol
3238;161;219;125;Diu
3239;34;221;175;Negeri Sembilan
3240;162;223;225;Jianchang
3241;34;225;25;Andong
3242;162;227;75;Hetu Ala
3243;34;229;125;Yanbian
3244;162;231;175;Hurka
3245;195;159;25;Bitchi
3246;163;235;25;Khanka
3247;35;237;75;Yman
3248;163;239;125;Yaran
3249;35;241;175;Heilong Jiang
3250;163;243;225;Evur
3251;35;245;25;Birija
3252;163;247;75;Bidzhan
3253;36;249;125;Selemdzha
3254;164;251;175;Zeya
3255;36;253;225;Urkan
3256;164;255;25;Saghalien Ula
3257;36;1;75;Amba Hinggan
3258;164;3;125;Nara
3259;36;5;175;Jirem
3260;165;7;225;Songyuan
3261;37;9;25;Khorchin
3262;165;11;75;Hada
3263;37;13;125;Chahar
3264;165;15;175;Bargu
3265;37;17;225;Setsen
3266;165;19;25;Dornod
3267;38;21;75;Khentii
3268;166;23;125;Dornogovi
3269;38;25;175;Ingoda
3270;166;27;225;Borzya
3271;38;29;25;Uda
3272;166;31;75;Arkhangai Aimag
3273;38;33;125;Kharkhorum
3274;167;35;175;Govi
3275;39;37;225;Alxa
3276;167;39;25;Urzhar
3277;39;41;75;Irtysh
3278;167;43;125;Kath
3279;39;45;175;Amu Darya
3280;167;47;225;Kashka Darya
3281;40;49;25;Ahal
3282;168;51;75;Repetek
3283;40;53;125;Mawarannahr
3284;168;55;175;Ghuzz
3285;40;57;225;Azaly
3286;168;59;25;Bai-Uly
3287;40;61;75;Nogay
3288;169;63;125;Surkhan Darya
3289;41;65;175;Khatlon
3290;169;67;225;Gissar
3291;41;69;25;Yashilkul
3292;169;71;75;Kokkand
3293;41;73;125;Khujand
3294;169;75;175;Rabat-e-Sangi
3295;42;77;225;Kyzyl Kum
3296;170;79;25;Turkestan
3297;42;81;75;Atakent
3298;170;83;125;Jany Darya
3299;42;85;175;Aral Te�izi
3300;170;87;225;Kyrgyz Ala-Too
3301;42;89;25;Talas Ala-Too
3302;171;91;75;Issyk-Kol
3303;43;93;125;Jambyl
3304;171;95;175;Sozak
3305;43;97;225;Ili
3306;171;99;25;Tau Kum
3307;56;221;180;Balqash
3308;171;103;125;Argyn
3309;44;105;175;Nayman
3310;172;107;225;Ilek
3311;44;109;25;Karatau
3312;172;111;75;Alty-Kuduk
3313;44;113;125;Koh Kong
3314;172;115;175;Vi Xuyen
3315;44;117;225;Raub
3316;173;119;25;Dar Sila
3317;45;121;75;Dar Diima
3318;173;123;125;Dar Daali
3319;45;125;175;Zaghawa
3320;173;127;225;Meidob
3321;45;129;25;Wadi al Milk
3322;173;131;75;Vorarlberg
3323;46;133;125;Powys
3324;174;135;175;Derby
